"YearStart","LocationAbbr","LocationDesc","Class","Question","Data_Value","QuestionRenamed"
"2014","UT","Utah","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2017","NY","New York","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2014","WV","West Virginia","Fruits and Vegetables","Percent of secondary schools that offered a self-serve salad bar to students","74.2","Percent of Sec Schools Offering Salad Bar"
"2017","MA","Massachusetts","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","15.0","Percent of BFHI births"
"2017","TN","Tennessee","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2011","DE","Delaware","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2016","IA","Iowa","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2018","NC","North Carolina","Breastfeeding","Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities","77","mPINC Score"
"2013","HI","Hawaii","Breastfeeding","Number of La Leche League leaders per 1,000 live births","0.5","La Leche Leaders Count"
"2017","AZ","Arizona","Fruits and Vegetables","Percent of farmers markets that accept WIC Farmers Market Nutrition Program coupons","38.0","Percent of WIC Farmers Markets"
"2014","WI","Wisconsin","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2012","AL","Alabama","Physical Activity","State provides guidance on policies for school districts or schools on recess","No","State Guidance on Policies for School Recess"
"2015","AK","Alaska","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2016","RI","Rhode Island","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2016","VT","Vermont","Sugar Drinks","Percent of secondary schools that allowed students to purchase soda pop or fruit drinks from one or more vending machines or at the school store, canteen, or snack bar","8.5","Percent Sec Schools Allowing Soda Purchase"
"2016","NC","North Carolina","Sugar Drinks","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar","27.6","Percent Sec Schools Allowing Sports Drink"
"2013","AR","Arkansas","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2017","TX","Texas","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2016","NJ","New Jersey","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2012","ID","Idaho","Physical Activity","State provides guidance on policies for school districts or schools on recess","No","State Guidance on Policies for School Recess"
"2016","CT","Connecticut","Physical Activity","Percent of youth with parks or playground areas, community centers and sidewalks or walking paths available in their neighborhood","39.8","Percent of Youth with Activity Areas Nearby"
"2018","AR","Arkansas","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2015","MO","Missouri","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","6.5","Percent of BFHI births"
"2018","WA","Washington","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2018","TX","Texas","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2011","CO","Colorado","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2019","CO","Colorado","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2012","LA","Louisiana","Physical Activity","State provides guidance on policies for school districts or schools on recess","No","State Guidance on Policies for School Recess"
"2017","AR","Arkansas","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2014","NY","New York","Breastfeeding","Number of La Leche League leaders per 1,000 live births","0.7","La Leche Leaders Count"
"2012","ND","North Dakota","Physical Activity","State provides guidance on policies for school districts or schools on joint-use agreements for physical activity facilities","No","State Guidance on Policies for School Activity Facilities"
